id,screen_name,user_id,time,link,text,source,account_type,party,chamber,name,emotion_label,emotion_score,emotion_group
1347092084818378753,repmondaire,1345883634046279681,2021-01-07 08:05:55+00:00,https://www.twitter.com/RepMondaire/statuses/1347092084818378753,"Fourteen hours and one violent insurrection later, I voted to certify the results of the Presidential election. Tomorrow, the fight for democracy begins anew. Tonight, I’m going to get some sleep.",Twitter for iPhone,office,D,house,Mondaire Jones,optimism,0.7509203553199768,joy
1347056673563795456,repmondaire,1345883634046279681,2021-01-07 05:45:12+00:00,https://www.twitter.com/MehdiHasanShow/statuses/1347055993285472257,"RT . on the GOP's role in the storming of the Capitol: ""They are co-conspirators in sedition, along with the President of the United States, who, of course, has been the cheerleader, the main cheerleader, for the violent insurrection that we saw attempted today.""",Twitter for iPhone,office,D,house,Mondaire Jones,neutral,0.9596068859100342,neutral
1347086289103937536,replaturner,1345850704800468993,2021-01-07 07:42:53+00:00,https://www.twitter.com/RepLaTurner/statuses/1347086289103937536,"Congressman LaTurner is following the advice of the House physician and CDC guidelines and, therefore, does not plan to return to the House floor for votes until he is cleared to do so.",Twitter for iPhone,office,R,house,Jacob LaTurner,neutral,0.8699175715446472,neutral
1347086287942131713,replaturner,1345850704800468993,2021-01-07 07:42:53+00:00,https://www.twitter.com/RepLaTurner/statuses/1347086287942131713,"Late Wednesday evening, Congressman Jake LaTurner received a positive test result for COVID-19. Congressman LaTurner took the test as part of Washington DC’s travel guidelines that requires visitors be tested. He is not experiencing any symptoms at this time.",Twitter for iPhone,office,R,house,Jacob LaTurner,neutral,0.9427072405815125,neutral
1347324128618020866,repharshbarger,1345787285179162624,2021-01-07 23:27:58+00:00,https://www.twitter.com/RepLeeZeldin/statuses/1347323699897229312,"RT Simon & Schuster is promoting democracy by silencing a Republican’s book highlighting how big tech is silencing Republicans?It is so dishonest for anyone to try to define Hawley’s purpose yesterday as being about “insurrection”, “treason” or “sedition”.",Twitter for iPhone,office,R,house,Diana Harshbarger,neutral,0.39179372787475586,neutral
1347305136159420417,repharshbarger,1345787285179162624,2021-01-07 22:12:30+00:00,https://www.twitter.com/RepHarshbarger/statuses/1347305136159420417,"Twitter thinks it’s ok to ban but allows this tweet from Iran’s supreme leader that’s clearly inciting violence against America to stand? This is not acceptable! Millions attending Martyrs Soleimani & Abu Mahdi’s funerals in Iraq & Iran was the 1st severe slap to the US. But the worse one is overcoming the hegemony of Arrogance & expelling the US from the region. Of course, revenge will be taken on those who ordered it & the murderers.",Twitter for iPhone,office,R,house,Diana Harshbarger,neutral,0.33115193247795105,neutral
1347223706523889666,repharshbarger,1345787285179162624,2021-01-07 16:48:56+00:00,https://www.twitter.com/RepHarshbarger/statuses/1347223706523889666,"Sadly, this is just the latest example of big tech silencing conservatives. This is unacceptable and should not happen. Our society thrives when all opinions are heard and debated, not when many are silenced.",Twitter for iPhone,office,R,house,Diana Harshbarger,sadness,0.7020534873008728,sadness
1347223482795520010,repharshbarger,1345787285179162624,2021-01-07 16:48:03+00:00,https://www.twitter.com/RepHarshbarger/statuses/1347223482795520010,"Big tech should not censor the leader of the free world and restrict his ability to communicate directly to the American people, especially during a critical moment in our nation such as right now. Facebook and Twitter should restore ’s accounts immediately!",Twitter for iPhone,office,R,house,Diana Harshbarger,neutral,0.7236072421073914,neutral
1347165778450251776,sentuberville,1345739193721487362,2021-01-07 12:58:45+00:00,https://www.twitter.com/SenTuberville/statuses/1347165778450251776,"I look forward to working with my colleagues on legislation to create an election commission that could lead to important reforms. Moving forward, I will continue to be a voice for the people of Alabama regarding the security of our elections.",Twitter Web App,office,R,senate,Tommy Tuberville,optimism,0.7676824331283569,joy
1347165777544294403,sentuberville,1345739193721487362,2021-01-07 12:58:45+00:00,https://www.twitter.com/SenTuberville/statuses/1347165777544294403,"Although the election results were not what many Alabamians - including myself - would like, the process of certifying the election results needs to be completed.",Twitter Web App,office,R,senate,Tommy Tuberville,neutral,0.6421745419502258,neutral
1347165776718032901,sentuberville,1345739193721487362,2021-01-07 12:58:44+00:00,https://www.twitter.com/SenTuberville/statuses/1347165776718032901,"Because I promised to raise these concerns on behalf of my constituents, I voted against seating the electors from Arizona and Pennsylvania.",Twitter Web App,office,R,senate,Tommy Tuberville,disapproval,0.5157872438430786,anger
1347165775820427264,sentuberville,1345739193721487362,2021-01-07 12:58:44+00:00,https://www.twitter.com/SenTuberville/statuses/1347165775820427264,The integrity of our elections is vital to our country. I have serious concerns that the states of Arizona and Pennsylvania did not act in accordance with their own duly enacted laws when conducting this election.,Twitter Web App,office,R,senate,Tommy Tuberville,neutral,0.21657468378543854,neutral
1347165774918672386,sentuberville,1345739193721487362,2021-01-07 12:58:44+00:00,https://www.twitter.com/SenTuberville/statuses/1347165774918672386,"Yesterday was a sad day for our great country. I strongly condemn the violence and actions we saw from those who stormed the Capitol. It undermines the freedoms we enjoy as Americans, and it has no place in our democracy.",Twitter Web App,office,R,senate,Tommy Tuberville,sadness,0.7946453094482422,sadness
1347236378703228933,repbobgood,1345536897838436353,2021-01-07 17:39:17+00:00,https://www.twitter.com/Jim_Jordan/statuses/1347211651515342850,RT God Bless the men and women of law enforcement.,Twitter for iPhone,office,R,house,Robert Good,caring,0.8440732955932617,moral
1347234450791428099,repbobgood,1345536897838436353,2021-01-07 17:31:38+00:00,https://www.twitter.com/RepBobGood/statuses/1347234450791428099,"I condemn all violence.I support election integrity.These two aren’t mutually exclusive and I believe in both of these.Last night, I continued with my objection to the submission of electors’ from six states to protect election security.",Twitter for iPhone,office,R,house,Robert Good,approval,0.811680018901825,joy
1347306184173350915,repnikema,1345461797361504259,2021-01-07 22:16:40+00:00,https://www.twitter.com/RepNikema/statuses/1347306184173350915,Much can happen in 13 days. We must remove President Trump from office NOW. The riot incited by the President yesterday was unpatriotic and a disgrace to our core values. I support invoking the 25th Amendment .,Twitter Web App,office,D,house,Nikema Williams,annoyance,0.20441275835037231,anger
